"","Reference","DM","ADF","NDF","ADL","CP","OM","P","Ca","Na","Fe","K","Mg","Cu","Mn","Zn","IVDMD","ME","NEm","NEg","NEl","Country","Feed_item"
"1","53103",95.68,39.49,51.12,7.92,11.25,87.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.64,7.36,3.85,1.59,4.39,"Kenya","Dairy concentrate"
"2","53127",92.86,9.66,42.53,1.87,18.29,96.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.39,11.97,8.03,5.31,7.61,"Kenya","Dairy concentrate"
"3","53126",92.91,11.81,47.82,2.66,18.16,97.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.88,11.76,7.82,5.19,7.49,"Kenya","Dairy concentrate"
"4","53125",93.02,8.56,39.04,3.15,14.29,97.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.23,12.47,8.41,5.69,7.95,"Kenya","Dairy concentrate"
"5","53123",93.71,21.2,43.84,3.97,19.34,87.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.68,9.33,5.73,3.31,5.77,"Kenya","Dairy concentrate"
"6","53118",93.14,23.14,46.39,5.01,23.28,87.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.47,9.25,5.65,3.22,5.69,"Kenya","Dairy concentrate"
"7","53117",93.43,14.81,39.06,3.51,20.18,94.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.68,11,7.2,4.6,6.95,"Kenya","Dairy concentrate"
"8","53116",92.9,9.36,40.5,1.84,18.61,95.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.59,12.01,8.03,5.36,7.66,"Kenya","Dairy concentrate"
"9","53115",94.2,23.59,44.51,4.47,19.43,85.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.48,8.87,5.27,2.89,5.44,"Kenya","Dairy concentrate"
"10","53113",93.21,11.38,42.53,2.83,21.84,95.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.76,11.67,7.78,5.1,7.41,"Kenya","Dairy concentrate"
"11","53111",93.46,11.88,44.79,2.11,18.61,97.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.99,12.09,8.12,5.44,7.7,"Kenya","Dairy concentrate"
"12","53109",93.5,19.42,47.59,3.66,13.92,94.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.99,10.38,6.65,4.14,6.49,"Kenya","Dairy concentrate"
"13","53106",95.08,32.97,50.67,6.69,13.91,88.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.05,8.08,4.56,2.22,4.9,"Kenya","Dairy concentrate"
"14","53104",92.91,18.54,40.91,3.63,20.72,89.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.5,9.96,6.28,3.81,6.19,"Kenya","Dairy concentrate"
"15","53011",92.18,14.19,45.06,3.97,21.41,92.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,10.59,6.82,4.31,6.65,"Kenya","Dairy concentrate"
"16","53010",92.48,14.28,45.4,3.96,20.99,94.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.85,10.96,7.15,4.6,6.9,"Kenya","Dairy concentrate"
"17","53007",93.07,8.51,41.28,1.31,18.06,99.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.59,8.54,5.77,8.08,"Kenya","Dairy concentrate"
"18","53003",93.14,14.66,38.76,4.1,12.76,94.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.36,11.17,7.32,4.73,7.07,"Kenya","Dairy concentrate"
"19","52999",93.34,9.67,40.9,2.29,17.63,97.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.68,12.3,8.28,5.56,7.87,"Kenya","Dairy concentrate"
"20","52988",92.86,13.54,45.74,3.74,22.88,95.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.42,11.34,7.49,4.85,7.2,"Kenya","Dairy concentrate"
"21","52975",93.85,21.49,47.4,3.99,17.19,92.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.09,10.08,6.4,3.89,6.28,"Kenya","Dairy concentrate"
"22","52973",94.18,20.95,46.05,3.97,15.19,92.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.17,10.25,6.53,4.02,6.4,"Kenya","Dairy concentrate"
"23","52971",92.64,10.66,39.98,2.72,22.14,93.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.89,11.34,7.49,4.85,7.2,"Kenya","Dairy concentrate"
"24","52968",92.65,8.72,39.95,1.51,18.77,96.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.53,12.13,8.16,5.44,7.74,"Kenya","Dairy concentrate"
"25","52965",92.31,11.1,40.12,1.91,18.47,94.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.06,11.59,7.7,5.06,7.36,"Kenya","Dairy concentrate"
"26","52754",93.93,28.74,43.1,4.8,12.49,88.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.94,9.04,5.44,3.05,5.56,"Kenya","Dairy concentrate"
"27","52714",94.17,38.04,47.33,6.88,11.7,84.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kenya","Dairy concentrate"
"28","52649",94.02,48.61,77.5,5.43,3.89,93.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.37,7.91,4.39,2.05,4.77,"Kenya","Dairy concentrate"
"29","60947",89.58,25.52,62.46,3.42,11.49,92.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.74,NA,NA,NA,NA,"Kenya","Dairy meal"
"30","60965",92.21,26.47,42.89,8.26,13.69,82.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.19,NA,NA,NA,NA,"Kenya","Dairy meal"
"31","60966",92.28,31.23,47.05,10.04,13.54,84.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.1,NA,NA,NA,NA,"Kenya","Dairy meal"
"32","60878",91.57,27.01,48.77,7.57,7.85,82.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.49,NA,NA,NA,NA,"Kenya","Dairy meal"
"33","60879",88.65,23.01,62.38,2.97,18.79,97.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,NA,NA,NA,NA,"Kenya","Dairy meal"
"34","60910",91.02,88.82,34.78,3.36,8.97,94.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.66,NA,NA,NA,NA,"Kenya","Dairy meal"
"35","60911",92.06,22.47,42.7,6.33,8.63,82.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.47,NA,NA,NA,NA,"Kenya","Dairy meal"
"36","60912",90.63,29.07,65.09,5.33,11.88,91.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.18,NA,NA,NA,NA,"Kenya","Dairy meal"
"37","60726",89.62,29.12,64.28,4.45,15.8,91.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.07,NA,NA,NA,NA,"Kenya","Dairy meal"
"38","60790",87.65,23.04,61.74,1.64,17.02,96.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,"Kenya","Dairy meal"
"39","60791",91.64,24.7,43.93,7.21,10.43,81.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.27,NA,NA,NA,NA,"Kenya","Dairy meal"
"40","60723",90.99,22.93,41.92,7.05,15.54,89.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.52,NA,NA,NA,NA,"Kenya","Dairy meal"
"41","60724",91.07,23.11,39.85,6.92,15.91,89.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.15,NA,NA,NA,NA,"Kenya","Dairy meal"
"42","60725",91.78,33.6,55.91,9.34,8.29,81.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.19,NA,NA,NA,NA,"Kenya","Dairy meal"
"43","53119",93.1,9.46,44.3,2.09,18.29,96.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.08,11.76,7.82,5.19,7.49,"Kenya","Dairy meal"
"44","111726",92.57,8.14,18.73,3.69,7.4,95.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.05,9.77,NA,NA,NA,"Ethiopia","Maize bran"
"45","109971",93.51,9.44,39.95,3.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.39,9.49,NA,NA,NA,"Uganda","Maize bran"
"46","110186",92.53,14,41.45,3.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.84,9.52,NA,NA,NA,"Uganda","Maize bran"
"47","110265",92.46,12.36,40.16,3.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.81,9.42,NA,NA,NA,"Uganda","Maize bran"
"48","110280",92.46,10.94,36.83,3.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.93,9.48,NA,NA,NA,"Uganda","Maize bran"
"49","110036",93.19,8.8,33.82,4.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.66,9.98,NA,NA,NA,"Uganda","Maize bran"
"50","110267",92.52,14.6,43.23,3.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.66,9.28,NA,NA,NA,"Uganda","Maize bran"
"51","110038",93.43,13.78,43.13,3.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.17,9.44,NA,NA,NA,"Uganda","Maize bran"
"52","110078",92.2,10.75,37.29,3.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.31,9.96,NA,NA,NA,"Uganda","Maize bran"
"53","110264",92.72,6.15,33.31,3.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.24,9.74,NA,NA,NA,"Uganda","Maize bran"
"54","110037",93.32,7.47,32.74,3.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.95,9.88,NA,NA,NA,"Uganda","Maize bran"
"55","110479",92.59,13.21,42.54,3.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.25,9.52,NA,NA,NA,"Uganda","Maize bran"
"56","110486",92.23,12.69,41.52,3.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.33,9.82,NA,NA,NA,"Uganda","Maize bran"
"57","110162",92.47,17.67,45.93,3.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.83,9.12,NA,NA,NA,"Uganda","Maize bran"
"58","110402",92.89,16.09,44.64,3.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.71,9.45,NA,NA,NA,"Uganda","Maize bran"
"59","110087",92.78,18.45,50.74,2.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.07,9.04,NA,NA,NA,"Uganda","Maize bran"
"60","110405",93.13,20.82,53.8,3.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.14,8.81,NA,NA,NA,"Uganda","Maize bran"
"61","110193",92.95,19.69,53.16,3.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.02,8.95,NA,NA,NA,"Uganda","Maize bran"
"62","110324",93.41,18.28,52.7,2.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.52,8.86,NA,NA,NA,"Uganda","Maize bran"
"63","110158",91.94,13.9,42.3,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.88,9.35,NA,NA,NA,"Uganda","Maize bran"
"64","110397",92.81,13.79,43.09,3.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.27,9.52,NA,NA,NA,"Uganda","Maize bran"
"65","110126",92.19,13.58,39.61,3.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.72,9.62,NA,NA,NA,"Uganda","Maize bran"
"66","110125",91.66,10.85,37.19,3.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.59,9.43,NA,NA,NA,"Uganda","Maize bran"
"67","103953",92.09,15.07,29.49,4.44,11.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.78,8.55,NA,NA,NA,"Tanzania","Maize bran"
"68","103939",93.78,47.28,75.06,9.12,5.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.43,6.47,NA,NA,NA,"Tanzania","Maize bran"
"69","103941",93.92,50.16,82.25,7.54,5.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.74,6.54,NA,NA,NA,"Tanzania","Maize bran"
"70","103959",92.95,25.93,35.86,9.71,20.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.74,7.77,NA,NA,NA,"Tanzania","Maize bran"
"71","103965",92.59,21.58,33.19,7.8,16.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.77,8.02,NA,NA,NA,"Tanzania","Maize bran"
"72","103976",92.47,17.61,31.93,6.04,13.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.99,8.34,NA,NA,NA,"Tanzania","Maize bran"
"73","103904",91.8,10.28,27.78,3.25,11.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.04,9.63,NA,NA,NA,"Tanzania","Maize bran"
"74","103843",93.86,40.21,71.19,9.46,6.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.97,6.59,NA,NA,NA,"Tanzania","Maize bran"
"75","103806",93.83,50.94,79.12,8.29,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.57,6.61,NA,NA,NA,"Tanzania","Maize bran"
"76","103791",92.36,16.04,27.63,6.2,9.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.06,9.1,NA,NA,NA,"Tanzania","Maize bran"
"77","103780",92.94,24.51,34.78,8.56,18.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.39,7.73,NA,NA,NA,"Tanzania","Maize bran"
"78","103746",92.36,20.53,33.11,6.52,12.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.08,8.24,NA,NA,NA,"Tanzania","Maize bran"
"79","103723",92.28,18.07,28.77,5.91,12.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.37,8.48,NA,NA,NA,"Tanzania","Maize bran"
"80","102243",92.5,15.33,35.5,5.37,11.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.58,9.37,NA,NA,NA,"Ethiopia","Maize bran"
"81","101882",91.89,15.17,48.31,5.06,7.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.51,9.63,NA,NA,NA,"Ethiopia","Maize bran"
"82","101921",92.13,18.72,53.78,6.38,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.76,9.37,NA,NA,NA,"Ethiopia","Maize bran"
"83","101913",91.89,16.99,52.5,5.56,6.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.7,9.35,NA,NA,NA,"Ethiopia","Maize bran"
"84","101910",92.34,15.6,40.27,5.49,9.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.84,9.38,NA,NA,NA,"Ethiopia","Maize bran"
"85","101895",91.64,18.7,59.98,5.49,5.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.47,9.02,NA,NA,NA,"Ethiopia","Maize bran"
"86","91438",93.35,6.46,29.15,3.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.33,10.49,NA,NA,NA,"","Maize bran"
"87","84724",92.27,8.29,41.82,1.82,16.61,95.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.15,10.56,NA,NA,NA,"Mali","Maize bran"
"88","84714",92.12,9.33,42.09,1.9,16.87,94.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.58,10.46,NA,NA,NA,"Mali","Maize bran"
"89","84705",92.36,13.63,46.79,2.04,15.07,93.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.3,10.19,NA,NA,NA,"Mali","Maize bran"
"90","84685",93.05,10.06,39.36,2.13,15.37,92.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.34,10.57,NA,NA,NA,"Mali","Maize bran"
"91","84682",92.41,9.12,40.9,1.97,16.82,93.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.86,10.41,NA,NA,NA,"Mali","Maize bran"
"92","74535",89.11,14,84.21,1.17,10.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.12,13.9,NA,NA,NA,"","Maize bran"
"93","74533",88.98,6.36,48.28,0.62,7.95,97.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.52,11.76,NA,NA,NA,"","Maize bran"
"94","74528",88.66,11.77,76.69,2.11,11.13,97.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.19,13.72,NA,NA,NA,"","Maize bran"
"95","74481",89.4,14.1,84.85,1.2,11.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.2,14.05,NA,NA,NA,"","Maize bran"
"96","74478",90.74,17.32,81.2,NA,8.46,95.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.11,13.9,NA,NA,NA,"","Maize bran"
"97","69817",89.53,18.48,58.8,8.88,23.25,93.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.77,NA,NA,NA,NA,"Tanzania","Maize bran"
"98","69693",86.27,10.34,72.61,1.05,5.94,92.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.15,NA,NA,NA,NA,"Tanzania","Maize bran"
"99","69575",90.74,9.16,47.29,2.6,10.85,92.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.72,6.6,NA,NA,NA,"","Maize bran"
"100","69566",89.56,8.61,49.03,1.39,13.72,91.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.2,10.56,NA,NA,NA,"","Maize bran"
"101","69555",89.3,10.52,43.41,1.65,13.07,95.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.52,11.23,NA,NA,NA,"","Maize bran"
"102","69500",90.7,10.35,53.05,1.24,13.06,94.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.98,5.96,NA,NA,NA,"","Maize bran"
"103","69489",90.55,17.98,70.28,1.21,12.19,94.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.14,6.04,NA,NA,NA,"","Maize bran"
"104","69475",91.07,16.88,61.23,3.27,9.45,91.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.92,9.7,NA,NA,NA,"","Maize bran"
"105","67622",91.99,14.74,51.47,2.4,8.73,95.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.27,7.34,NA,NA,NA,"","Maize bran"
"106","67474",89.16,7.84,48.53,1.78,13.55,96.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.4,10.27,NA,NA,NA,"","Maize bran"
"107","67482",90.58,10.65,52.27,2.61,14.45,92.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.53,8.53,NA,NA,NA,"","Maize bran"
"108","67522",90.21,12.31,51.87,1.58,13.56,91.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.42,8.2,NA,NA,NA,"","Maize bran"
"109","67545",90.51,8.14,36.01,0.88,10.56,95.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.09,9.33,NA,NA,NA,"","Maize bran"
"110","67605",90.37,7.82,44.63,0.36,11.04,93.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.56,9.81,NA,NA,NA,"","Maize bran"
"111","67612",90.82,10.92,53.33,0.72,11.14,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.77,7.86,NA,NA,NA,"","Maize bran"
"112","67565",90.73,11.44,47.47,2.78,10.22,94.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Maize bran"
"113","66703",89.06,8.62,38.98,1.36,7.29,98.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.57,11.89,NA,NA,NA,"","Maize bran"
"114","66691",92.07,9.9,35.14,1.69,8.44,85.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.22,7.86,NA,NA,NA,"","Maize bran"
"115","66409",88.25,10.93,42.25,1.49,10.02,79.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D. R. Congo","Maize bran"
"116","62737",91.73,21.98,60.63,3.55,7.02,97.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mali","Maize bran"
"117","53373",92.65,11.44,38.89,3.06,16.61,96.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.74,12.13,8.16,5.44,7.74,"Rwanda","Maize bran"
"118","53299",92.86,12.97,37.07,2.78,16.76,90.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.22,11.09,7.28,4.69,6.99,"Rwanda","Maize bran"
"119","53273",91.69,21.37,52.67,3.17,19.71,88.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.69,10.54,6.78,4.27,6.61,"Uganda","Maize bran"
"120","53272",91.99,19.49,52.64,2.33,20.25,90.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,10.96,7.15,4.6,6.9,"Uganda","Maize bran"
"121","53183",95.13,51.46,70.73,8.08,4.54,91.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.13,7.53,4.02,1.72,4.52,"Uganda","Maize bran"
"122","31906",91.6,10.93,34.67,0.58,11.45,93.62,8.7,0.7,112.6,486.2,12.1,3.8,12.62,35.66,72.06,80.64,12.18,8.2,5.48,7.78,"Mali","Maize bran"
"123","100802",88.67,NA,NA,NA,8.94,97.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kenya","Maize bran"
"124","120203",85.58,NA,NA,NA,8.25,98.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kenya","Maize bran"
"125","119442",NA,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kenya","Maize bran"
"126","101355",86.3,NA,NA,NA,10.88,98.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kenya","Maize bran"
"127","111653",91.76,6.5,21.59,2.12,7.55,98.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.99,9.89,NA,NA,NA,"Ethiopia","Maize grain"
"128","111654",91.63,6.98,21.92,1.78,8.33,98.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.46,9.59,NA,NA,NA,"Ethiopia","Maize grain"
"129","111656",91.89,7.2,22.14,2.65,7.5,98.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.37,9.74,NA,NA,NA,"Ethiopia","Maize grain"
"130","103860",92.69,17.57,25.77,6.18,11.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.62,8.49,NA,NA,NA,"Tanzania","Maize grain"
"131","103724",92.44,20,30.74,6.72,12.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.18,8.27,NA,NA,NA,"Tanzania","Maize grain"
"132","91090",NA,0.61,22.2,4.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.53,10.79,NA,NA,NA,"","Maize grain"
"133","91091",NA,2.63,28.37,4.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.09,10.84,NA,NA,NA,"","Maize grain"
"134","91092",NA,2.92,26.86,4.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.96,10.6,NA,NA,NA,"","Maize grain"
"135","91093",NA,1.57,25.25,4.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.31,10.58,NA,NA,NA,"","Maize grain"
"136","91094",NA,2.06,24.16,4.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.88,10.66,NA,NA,NA,"","Maize grain"
"137","91095",NA,2.15,26.93,4.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.6,10.83,NA,NA,NA,"","Maize grain"
"138","91096",NA,4.19,28.9,4.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.32,10.85,NA,NA,NA,"","Maize grain"
"139","91097",NA,2.77,27.98,4.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.07,10.81,NA,NA,NA,"","Maize grain"
"140","91098",NA,2.34,29.6,4.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.14,10.65,NA,NA,NA,"","Maize grain"
"141","91099",NA,2.4,27.14,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.8,10.74,NA,NA,NA,"","Maize grain"
"142","91100",NA,4.64,30.92,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.47,10.6,NA,NA,NA,"","Maize grain"
"143","91101",NA,3.31,29.52,4.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.07,10.65,NA,NA,NA,"","Maize grain"
"144","91102",NA,3.46,29.14,4.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.6,10.62,NA,NA,NA,"","Maize grain"
"145","91103",NA,2.81,27.32,4.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.2,10.76,NA,NA,NA,"","Maize grain"
"146","91104",NA,2.8,27.85,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.43,10.89,NA,NA,NA,"","Maize grain"
"147","91105",NA,2.13,27.51,4.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.6,10.69,NA,NA,NA,"","Maize grain"
"148","91106",NA,1.55,27.05,4.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.7,10.75,NA,NA,NA,"","Maize grain"
"149","91107",NA,2.05,29.49,4.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.04,10.57,NA,NA,NA,"","Maize grain"
"150","91108",NA,3.45,31.19,4.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.34,10.72,NA,NA,NA,"","Maize grain"
"151","91109",NA,2.44,29.07,4.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.29,10.7,NA,NA,NA,"","Maize grain"
"152","91110",NA,1.63,29.12,4.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.42,10.67,NA,NA,NA,"","Maize grain"
"153","91111",NA,2.08,28.31,4.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.3,10.68,NA,NA,NA,"","Maize grain"
"154","91112",NA,1.97,29.76,4.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.91,10.53,NA,NA,NA,"","Maize grain"
"155","91113",NA,1.58,27.67,4.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.57,10.7,NA,NA,NA,"","Maize grain"
"156","91114",NA,2.6,30.31,4.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.41,10.68,NA,NA,NA,"","Maize grain"
"157","91115",NA,2.26,27.95,4.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.71,10.63,NA,NA,NA,"","Maize grain"
"158","91116",NA,2.49,26.86,4.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.67,10.53,NA,NA,NA,"","Maize grain"
"159","91117",NA,2.47,28.66,4.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.64,10.73,NA,NA,NA,"","Maize grain"
"160","91118",NA,5,31.11,4.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.68,10.7,NA,NA,NA,"","Maize grain"
"161","91119",NA,3.31,29.54,4.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.96,10.82,NA,NA,NA,"","Maize grain"
"162","91120",NA,2.01,29.23,4.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.52,10.87,NA,NA,NA,"","Maize grain"
